txn_id,hour,amount,method,bank,device,network_quality,prior_attempts,reason,strategy,delay_min,channel,success,revenue_recovered
train_000000,19,603.58,UPI,HDFC,ios,moderate,1,bank_timeout,delayed_retry,110.2,none,1,603.58
train_000001,18,2029.8,Wallet,IDFC,android,good,0,wrong_otp,instant_retry,1.4,none,0,0.0
train_000002,11,107.15,UPI,IDFC,android,good,1,bank_timeout,delayed_retry,115.2,none,0,0.0
train_000003,11,2347.14,Wallet,ICICI,android,good,0,network_drop,instant_retry,2.4,none,0,0.0
train_000004,11,1933.38,UPI,IDFC,ios,moderate,0,bank_timeout,delayed_retry,29.9,none,1,1933.38
train_000005,19,1130.14,UPI,ICICI,android,good,1,insufficient_funds,nudge_then_retry,33.8,sms,0,0.0
train_000006,4,232.66,NetBanking,Kotak,android,good,1,card_declined,instant_retry,0.7,none,0,0.0
train_000007,23,10948.35,UPI,SBI,android,moderate,1,risk_block,delayed_retry,13.2,none,0,0.0
train_000008,18,471.07,UPI,IDFC,web,good,0,wrong_otp,nudge_then_retry,39.5,email,1,471.07
train_000009,16,928.24,UPI,HDFC,android,poor,0,bank_timeout,delayed_retry,420.6,none,1,928.24
train_000010,17,271.66,Card,ICICI,web,poor,1,insufficient_funds,nudge_then_retry,73.6,whatsapp,1,271.66
train_000011,19,1461.9,UPI,YesBank,android,good,0,wrong_otp,delayed_retry,333.0,none,0,0.0
train_000012,14,475.76,UPI,Axis,web,good,0,wrong_otp,delayed_retry,1084.4,none,0,0.0
train_000013,15,6272.03,Card,YesBank,android,moderate,1,card_declined,instant_retry,0.8,none,0,0.0
train_000014,20,651.06,UPI,SBI,web,good,1,bank_timeout,instant_retry,2.2,none,0,0.0
train_000015,11,210.26,UPI,HDFC,web,good,0,insufficient_funds,no_action,0.0,none,0,0.0
train_000016,18,686.74,UPI,IDFC,android,moderate,0,insufficient_funds,instant_retry,7.5,none,0,0.0
train_000017,19,966.23,UPI,Kotak,android,good,0,bank_timeout,nudge_then_retry,28.7,whatsapp,0,0.0
train_000018,21,751.89,UPI,IDFC,ios,good,0,network_drop,suggest_alt_method,57.6,whatsapp,0,0.0
train_000019,8,281.01,UPI,IDFC,android,moderate,0,wrong_otp,nudge_then_retry,213.3,email,1,281.01
train_000020,9,356.93,Card,SBI,android,good,1,card_declined,nudge_then_retry,7.9,sms,0,0.0
train_000021,14,438.99,UPI,IDFC,android,good,1,insufficient_funds,delayed_retry,50.3,none,1,438.99
train_000022,16,217.6,UPI,Kotak,android,moderate,0,bank_timeout,delayed_retry,2087.7,none,0,0.0
train_000023,19,570.71,Wallet,HDFC,android,good,0,gateway_error,delayed_retry,41.7,none,1,570.71
train_000024,18,3891.04,Wallet,YesBank,android,moderate,0,gateway_error,instant_retry,5.1,none,0,0.0
train_000025,14,345.76,Card,YesBank,android,good,1,bank_timeout,nudge_then_retry,6.6,whatsapp,0,0.0
train_000026,2,536.23,UPI,YesBank,android,good,2,wrong_otp,delayed_retry,524.6,none,0,0.0
train_000027,20,160.07,UPI,HDFC,web,poor,0,wrong_otp,instant_retry,7.2,none,0,0.0
train_000028,19,745.52,UPI,Kotak,ios,good,1,network_drop,nudge_then_retry,14.6,whatsapp,0,0.0
train_000029,21,4395.3,Wallet,ICICI,ios,good,1,network_drop,nudge_then_retry,68.4,sms,0,0.0
train_000030,16,414.79,UPI,YesBank,web,good,0,insufficient_funds,nudge_then_retry,146.8,whatsapp,1,414.79
train_000031,8,431.66,UPI,ICICI,ios,good,0,bank_timeout,instant_retry,7.1,none,0,0.0
train_000032,18,736.44,Card,ICICI,ios,good,0,card_declined,delayed_retry,1380.0,none,0,0.0
train_000033,16,1352.12,Card,SBI,ios,good,0,insufficient_funds,instant_retry,6.1,none,0,0.0
train_000034,22,379.68,Card,YesBank,ios,good,0,insufficient_funds,nudge_then_retry,796.5,sms,0,0.0
train_000035,12,572.39,NetBanking,HDFC,ios,good,0,bank_timeout,delayed_retry,2817.7,none,0,0.0
train_000036,13,222.06,UPI,IDFC,ios,poor,1,network_drop,delayed_retry,267.4,none,0,0.0
train_000037,10,425.97,UPI,HDFC,android,good,1,insufficient_funds,no_action,0.0,none,0,0.0
train_000038,7,567.88,UPI,IDFC,android,good,1,bank_timeout,instant_retry,5.9,none,1,567.88
train_000039,11,86.37,UPI,SBI,android,good,0,wrong_otp,suggest_alt_method,683.2,sms,1,86.37
train_000040,12,846.67,Card,Kotak,ios,moderate,1,card_declined,nudge_then_retry,8.7,sms,0,0.0
train_000041,18,2247.58,NetBanking,SBI,android,good,0,bank_timeout,nudge_then_retry,17.9,whatsapp,0,0.0
train_000042,8,397.55,Card,SBI,android,moderate,1,risk_block,instant_retry,5.5,none,0,0.0
train_000043,16,1313.02,UPI,Axis,android,moderate,1,network_drop,instant_retry,1.4,none,1,1313.02
train_000044,2,1234.22,NetBanking,Axis,ios,good,0,wrong_otp,suggest_alt_method,1163.1,whatsapp,0,0.0
train_000045,9,769.71,UPI,Axis,web,good,0,network_drop,delayed_retry,1470.7,none,0,0.0
train_000046,7,1158.77,UPI,Axis,android,poor,1,wrong_otp,nudge_then_retry,85.5,email,0,0.0
train_000047,4,806.63,Card,Axis,web,poor,0,gateway_error,instant_retry,6.2,none,0,0.0
train_000048,18,531.34,UPI,HDFC,ios,good,1,insufficient_funds,instant_retry,7.7,none,0,0.0
train_000049,9,1397.7,NetBanking,Kotak,web,good,0,wrong_otp,delayed_retry,55.9,none,0,0.0
train_000050,19,3955.87,Card,HDFC,ios,good,0,bank_timeout,nudge_then_retry,10.8,sms,0,0.0
train_000051,18,348.88,Card,HDFC,android,good,0,risk_block,nudge_then_retry,15.7,whatsapp,0,0.0
train_000052,10,538.91,UPI,Kotak,web,good,1,insufficient_funds,instant_retry,7.0,none,0,0.0
train_000053,15,2444.38,NetBanking,IDFC,android,good,0,card_declined,instant_retry,0.3,none,0,0.0
train_000054,19,907.73,UPI,HDFC,android,good,0,wrong_otp,instant_retry,6.0,none,1,907.73
train_000055,1,140.82,UPI,SBI,android,moderate,1,network_drop,instant_retry,0.2,none,1,140.82
train_000056,12,131.75,NetBanking,Axis,android,poor,2,gateway_error,nudge_then_retry,20.4,whatsapp,0,0.0
train_000057,15,404.63,NetBanking,HDFC,ios,good,1,bank_timeout,instant_retry,1.5,none,0,0.0
train_000058,6,210.34,NetBanking,IDFC,ios,poor,0,bank_timeout,delayed_retry,239.1,none,0,0.0
train_000059,8,1277.86,UPI,YesBank,android,good,1,bank_timeout,delayed_retry,1642.2,none,0,0.0
train_000060,15,375.53,UPI,ICICI,android,good,1,wrong_otp,instant_retry,3.8,none,0,0.0
train_000061,19,7099.92,UPI,HDFC,android,good,1,bank_timeout,no_action,0.0,none,0,0.0
train_000062,19,2697.89,Card,IDFC,ios,moderate,0,card_declined,nudge_then_retry,150.0,whatsapp,0,0.0
train_000063,17,128.32,Card,ICICI,web,good,1,gateway_error,nudge_then_retry,1005.8,sms,1,128.32
train_000064,17,243.66,NetBanking,IDFC,ios,good,1,bank_timeout,instant_retry,5.3,none,0,0.0
train_000065,23,1286.02,UPI,Kotak,web,good,1,bank_timeout,instant_retry,5.1,none,0,0.0
train_000066,8,929.34,UPI,IDFC,android,moderate,0,wrong_otp,nudge_then_retry,1002.6,whatsapp,0,0.0
train_000067,2,208.31,Card,Kotak,android,moderate,0,insufficient_funds,nudge_then_retry,831.3,sms,1,208.31
train_000068,10,404.65,NetBanking,Kotak,ios,moderate,1,bank_timeout,nudge_then_retry,103.5,sms,1,404.65
train_000069,8,2727.94,Wallet,Kotak,ios,good,1,insufficient_funds,delayed_retry,208.5,none,0,0.0
train_000070,18,166.01,UPI,Kotak,android,poor,2,gateway_error,nudge_then_retry,9.3,whatsapp,0,0.0
train_000071,9,211.4,UPI,Kotak,ios,good,1,insufficient_funds,suggest_alt_method,70.4,whatsapp,0,0.0
train_000072,18,73.61,NetBanking,SBI,web,good,0,insufficient_funds,nudge_then_retry,8.2,whatsapp,0,0.0
train_000073,4,1080.71,UPI,Axis,android,good,2,insufficient_funds,instant_retry,2.7,none,0,0.0
train_000074,18,488.49,Card,SBI,android,good,1,risk_block,instant_retry,4.3,none,0,0.0
train_000075,19,350.97,UPI,Kotak,ios,good,0,wrong_otp,delayed_retry,15.0,none,0,0.0
train_000076,9,4121.05,Card,HDFC,android,good,0,insufficient_funds,no_action,0.0,none,0,0.0
train_000077,9,407.42,NetBanking,IDFC,android,good,2,insufficient_funds,delayed_retry,12.9,none,0,0.0
train_000078,11,580.42,NetBanking,YesBank,android,moderate,0,bank_timeout,no_action,0.0,none,0,0.0
train_000079,13,481.15,NetBanking,Kotak,android,good,0,wrong_otp,delayed_retry,48.9,none,1,481.15
train_000080,16,239.82,Card,ICICI,android,good,1,card_declined,delayed_retry,686.5,none,0,0.0
train_000081,17,2908.86,UPI,Axis,android,good,2,insufficient_funds,instant_retry,3.8,none,0,0.0
train_000082,8,506.86,Card,IDFC,ios,good,1,card_declined,no_action,0.0,none,0,0.0
train_000083,8,430.75,UPI,IDFC,android,moderate,0,insufficient_funds,delayed_retry,139.3,none,1,430.75
train_000084,9,371.96,NetBanking,HDFC,ios,moderate,0,card_declined,suggest_alt_method,6.1,whatsapp,0,0.0
train_000085,7,1134.71,UPI,HDFC,web,moderate,0,wrong_otp,delayed_retry,177.5,none,0,0.0
train_000086,18,417.01,NetBanking,HDFC,android,good,0,bank_timeout,instant_retry,3.8,none,0,0.0
train_000087,14,1155.09,UPI,Kotak,web,poor,1,bank_timeout,instant_retry,7.7,none,0,0.0
train_000088,17,1871.72,UPI,YesBank,android,good,1,wrong_otp,delayed_retry,20.5,none,1,1871.72
train_000089,11,320.46,UPI,HDFC,web,moderate,1,network_drop,instant_retry,3.6,none,1,320.46
train_000090,13,375.07,Card,Kotak,android,moderate,0,bank_timeout,instant_retry,4.4,none,0,0.0
train_000091,10,285.39,UPI,IDFC,ios,good,0,wrong_otp,delayed_retry,15.9,none,0,0.0
train_000092,10,609.24,UPI,Kotak,web,moderate,0,bank_timeout,instant_retry,5.6,none,0,0.0
train_000093,19,1023.02,UPI,IDFC,android,good,0,insufficient_funds,instant_retry,0.2,none,0,0.0
train_000094,16,260.06,UPI,HDFC,android,good,1,bank_timeout,delayed_retry,1206.2,none,1,260.06
train_000095,18,1604.37,UPI,IDFC,android,poor,0,insufficient_funds,instant_retry,2.5,none,0,0.0
train_000096,13,727.33,UPI,SBI,android,good,3,insufficient_funds,instant_retry,5.9,none,0,0.0
train_000097,22,2430.94,Card,ICICI,android,moderate,0,insufficient_funds,nudge_then_retry,192.2,whatsapp,1,2430.94
train_000098,11,655.58,UPI,Axis,android,good,0,insufficient_funds,delayed_retry,65.3,none,0,0.0
train_000099,6,1613.33,Card,SBI,android,good,0,insufficient_funds,instant_retry,6.5,none,0,0.0
train_000100,14,322.76,Card,YesBank,web,good,0,insufficient_funds,delayed_retry,113.6,none,1,322.76
train_000101,9,4527.1,UPI,Axis,android,good,0,wrong_otp,delayed_retry,172.1,none,0,0.0
train_000102,10,1134.94,NetBanking,HDFC,android,moderate,0,wrong_otp,nudge_then_retry,303.8,whatsapp,0,0.0
train_000103,16,854.91,Card,Kotak,web,good,0,card_declined,nudge_then_retry,10.1,sms,1,854.91
train_000104,14,383.48,NetBanking,Kotak,web,good,1,insufficient_funds,delayed_retry,27.7,none,0,0.0
train_000105,17,959.31,UPI,SBI,web,good,0,bank_timeout,instant_retry,4.1,none,0,0.0
train_000106,16,405.16,UPI,Kotak,android,good,0,risk_block,instant_retry,2.0,none,0,0.0
train_000107,14,624.93,UPI,HDFC,android,moderate,1,wrong_otp,nudge_then_retry,1196.3,whatsapp,0,0.0
train_000108,12,1053.84,Wallet,IDFC,ios,poor,0,network_drop,delayed_retry,19.6,none,0,0.0
train_000109,17,91.24,UPI,Kotak,android,good,2,bank_timeout,delayed_retry,31.0,none,0,0.0
train_000110,15,445.47,UPI,SBI,android,good,2,bank_timeout,delayed_retry,14.0,none,0,0.0
train_000111,16,147.0,UPI,IDFC,android,good,0,bank_timeout,instant_retry,2.2,none,0,0.0
train_000112,19,809.77,UPI,HDFC,android,moderate,2,network_drop,nudge_then_retry,126.8,sms,0,0.0
train_000113,12,1639.57,Card,Kotak,web,good,0,insufficient_funds,nudge_then_retry,533.0,sms,0,0.0
train_000114,8,155.44,Card,IDFC,web,good,1,insufficient_funds,instant_retry,5.7,none,0,0.0
train_000115,18,260.52,UPI,IDFC,android,moderate,0,insufficient_funds,delayed_retry,595.4,none,0,0.0
train_000116,11,508.03,UPI,ICICI,android,moderate,1,insufficient_funds,suggest_alt_method,9.3,whatsapp,0,0.0
train_000117,17,2413.86,UPI,HDFC,ios,good,1,wrong_otp,nudge_then_retry,143.0,sms,1,2413.86
train_000118,6,558.99,Card,HDFC,ios,moderate,0,gateway_error,instant_retry,5.8,none,0,0.0
train_000119,15,515.6,UPI,Axis,ios,good,2,insufficient_funds,nudge_then_retry,1301.6,whatsapp,1,515.6
train_000120,4,200.61,Card,HDFC,android,moderate,0,gateway_error,suggest_alt_method,57.5,sms,1,200.61
train_000121,18,188.26,NetBanking,SBI,android,moderate,1,bank_timeout,instant_retry,0.2,none,0,0.0
train_000122,10,645.55,Card,SBI,ios,good,1,risk_block,no_action,0.0,none,0,0.0
train_000123,10,390.67,UPI,ICICI,ios,poor,1,wrong_otp,nudge_then_retry,314.4,whatsapp,0,0.0
train_000124,17,543.98,UPI,SBI,web,poor,0,bank_timeout,instant_retry,5.2,none,0,0.0
train_000125,19,472.73,UPI,Kotak,ios,good,0,network_drop,delayed_retry,639.1,none,0,0.0
train_000126,16,1511.66,UPI,Kotak,ios,good,0,insufficient_funds,no_action,0.0,none,0,0.0
train_000127,19,150.3,UPI,YesBank,web,good,0,wrong_otp,nudge_then_retry,31.4,email,1,150.3
train_000128,9,420.5,UPI,HDFC,ios,good,1,wrong_otp,instant_retry,3.4,none,0,0.0
train_000129,19,776.2,UPI,SBI,ios,poor,1,insufficient_funds,delayed_retry,75.2,none,0,0.0
train_000130,21,951.4,UPI,YesBank,ios,moderate,1,bank_timeout,delayed_retry,463.8,none,1,951.4
train_000131,17,1319.59,Card,SBI,android,moderate,0,risk_block,no_action,0.0,none,0,0.0
train_000132,12,433.19,Wallet,ICICI,android,moderate,1,insufficient_funds,delayed_retry,95.8,none,0,0.0
train_000133,14,412.45,Card,SBI,web,good,1,card_declined,no_action,0.0,none,0,0.0
train_000134,20,343.89,Card,Kotak,android,moderate,0,bank_timeout,instant_retry,4.8,none,0,0.0
train_000135,11,794.78,Card,YesBank,web,poor,0,network_drop,instant_retry,1.0,none,1,794.78
train_000136,18,1467.65,Card,Axis,web,good,0,insufficient_funds,instant_retry,4.5,none,0,0.0
train_000137,9,2421.4,NetBanking,ICICI,ios,good,1,risk_block,delayed_retry,1655.3,none,0,0.0
train_000138,10,838.27,Card,SBI,android,good,2,risk_block,instant_retry,4.4,none,0,0.0
train_000139,16,317.34,UPI,Kotak,android,moderate,2,insufficient_funds,nudge_then_retry,29.0,whatsapp,1,317.34
train_000140,17,325.93,UPI,HDFC,android,good,2,wrong_otp,suggest_alt_method,182.9,sms,0,0.0
train_000141,13,651.39,UPI,ICICI,ios,good,1,bank_timeout,suggest_alt_method,101.6,whatsapp,1,651.39
train_000142,12,651.74,UPI,HDFC,ios,good,1,insufficient_funds,delayed_retry,25.3,none,0,0.0
train_000143,21,559.65,UPI,ICICI,web,poor,0,network_drop,nudge_then_retry,642.1,whatsapp,1,559.65
train_000144,11,580.04,UPI,IDFC,android,good,0,insufficient_funds,instant_retry,3.3,none,1,580.04
